iter	Passed	Remaining
693	28433	12536
694	28470	12494
695	28505	12450
696	28541	12407
697	28588	12369
698	28623	12325
699	28660	12283
700	28697	12240
701	28736	12198
702	28778	12158
703	28816	12116
704	28853	12073
705	28891	12031
706	28935	11991
707	28980	11952
708	29019	11910
709	29055	11867
710	29095	11826
711	29138	11786
712	29174	11743
713	29210	11700
714	29248	11658
715	29284	11615
716	29320	11572
717	29358	11530
718	29398	11489
719	29437	11447
720	29475	11405
721	29510	11362
722	29546	11320
723	29587	11279
724	29625	11237
725	29666	11196
726	29704	11154
727	29740	11111
728	29778	11069
729	29815	11027
730	29854	10986
731	29886	10941
732	29919	10898
733	29951	10854
734	29981	10809
735	30015	10766
736	30055	10725
737	30091	10682
738	30131	10641
739	30164	10598
740	30196	10554
741	30235	10513
742	30277	10472
743	30317	10431
744	30353	10389
745	30394	10348
746	30438	10309
747	30476	10267
748	30516	10226
749	30560	10186
750	30600	10145
751	30636	10103
752	30677	10062
753	30712	10020
754	30754	9980
755	30792	9938
756	30831	9896
757	30873	9856
758	30915	9816
759	30950	9773
760	30991	9733
761	31027	9690
762	31066	9649
763	31105	9608
764	31140	9566
765	31179	9524
766	31229	9487
767	31270	9446
768	31307	9404
769	31347	9363
770	31389	9323
771	31432	9283
772	31474	9242
773	31511	9201
774	31552	9160
775	31597	9120
776	31635	9079
777	31676	9038
778	31721	8999
779	31759	8957
780	31794	8915
781	31833	8874
782	31870	8832
783	31910	8791
784	31953	8751
785	31993	8710
786	32032	8669
787	32075	8629
788	32113	8587
789	32153	8547
790	32198	8507
791	32236	8466
792	32275	8424
793	32316	8384
794	32363	8345
795	32403	8304
796	32443	8263
797	32482	8222
798	32527	8182
799	32569	8142
800	32606	8100
801	32658	8062
802	32699	8022
803	32737	7980
804	32777	7939
805	32822	7900
806	32862	7859
807	32901	7818
808	32941	7777
809	32975	7735
810	33020	7695
811	33063	7655
812	33104	7614
813	33155	7576
814	33203	7536
815	33243	7496
816	33287	7456
817	33328	7415
818	33368	7374
819	33411	7334
820	33449	7292
821	33496	7253
822	33538	7213
823	33579	7172
824	33628	7133
825	33668	7092
826	33703	7050
827	33746	7010
828	33790	6970
829	33827	6928
830	33865	6887
831	33905	6846
832	33947	6805
833	33980	6763
834	34015	6721
835	34050	6679
836	34092	6639
837	34127	6597
838	34164	6555
839	34206	6515
840	34247	6474
841	34285	6433
842	34324	6392
843	34365	6351
844	34402	6310
845	34442	6269
846	34480	6228
847	34518	6187
848	34556	6146
849	34593	6104
850	34631	6063
851	34669	6022
852	34705	5980
853	34743	5939
854	34782	5898
855	34826	5858
856	34860	5816
857	34903	5776
858	34941	5735
859	34976	5693
860	35015	5652
861	35051	5611
862	35094	5571
863	35138	5531
864	35176	5489
865	35217	5449
866	35258	5408
867	35297	5367
868	35333	5326
869	35378	5286
870	35424	5246
871	35463	5205
872	35499	5164
873	35545	5124
874	35586	5083
875	35631	5043
876	35672	5003
877	35716	4962
878	35757	4922
879	35796	4881
880	35837	4840
881	35875	4799
882	35911	4758
883	35948	4717
884	35989	4676
885	36034	4636
886	36073	4595
887	36108	4554
888	36149	4513
889	36192	4473
890	36229	4432
891	36274	4391
892	36313	4351
893	36351	4310
894	36386	4268
895	36424	4227
896	36461	4186
897	36502	4146
898	36542	4105
899	36585	4065
900	36625	4024
901	36667	3983
902	36711	3943
903	36757	3903
904	36796	3862
905	36837	3821
906	36873	3780
907	36912	3740
908	36950	3699
909	36987	3658
910	37028	3617
911	37068	3576
912	37108	3536
913	37148	3495
914	37190	3454
915	37230	3414
916	37271	3373
917	37308	3332
918	37349	3291
919	37388	3251
920	37432	3210
921	37476	3170
922	37516	3129
923	37552	3088
924	37593	3048
925	37636	3007
926	37679	2967
927	37721	2926
928	37764	2886
929	37803	2845
930	37848	2805
931	37884	2764
932	37919	2723
933	37958	2682
934	37994	2641
935	38033	2600
936	38072	2559
937	38111	2519
938	38154	2478
939	38199	2438
940	38240	2397
941	38279	2356
942	38320	2316
943	38360	2275
944	38396	2234
945	38437	2194
946	38476	2153
947	38518	2112
948	38559	2072
949	38602	2031
950	38644	1991
951	38688	1950
952	38725	1909
953	38766	1869
954	38809	1828
955	38848	1788
956	38888	1747
957	38927	1706
958	38961	1665
959	39002	1625
960	39041	1584
961	39086	1543
962	39120	1503
963	39162	1462
964	39203	1421
965	39239	1381
966	39278	1340
967	39315	1299
968	39360	1259
969	39401	1218
970	39437	1177
971	39480	1137
972	39522	1096
973	39562	1056
974	39601	1015
975	39640	974
976	39683	934
977	39719	893
978	39755	852
979	39790	812
980	39821	771
981	39860	730
982	39899	690
983	39938	649
984	39974	608
985	40011	568
986	40053	527
987	40090	486
988	40132	446
989	40175	405
990	40214	365
991	40251	324
992	40293	284
993	40329	243
994	40370	202
995	40406	162
996	40440	121
997	40477	81
998	40511	40
999	40548	0
